2018-10-13 14:25:55 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3313.html', 's_cate': '乡土', 'book_img': 'https://img13.360buyimg.com/n7/jfs/t1930/183/2802878225/24869/d12e1113/56ec050dN76f02876.jpg', 'book_name': '她们(精)', 'book_author': [], 'book_press': '重庆', 'book_publish_date': '2016-02', 'book_sku': '10195152403', 'book_price': '31.68'}
2018-10-13 14:25:55 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3313.html', 's_cate': '乡土', 'book_img': 'https://img13.360buyimg.com/n7/12110/de91077f-4e47-4f62-ad43-20d482222e04.jpg', 'book_name': '白鹿原', 'book_author': ['陈忠实'], 'book_press': '文化艺术出版社', 'book_publish_date': '2010-06', 'book_sku': '10092318', 'book_price': '25.90'}
2018-10-13 14:25:55 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3314.html', 's_cate': '职场', 'book_img': 'https://img12.360buyimg.com/n7/11949/a43dd62d-0745-42a1-aada-8952b6546a71.jpg', 'book_name': '高级跳', 'book_author': ['菲乐'], 'book_press': '山西经济出版社', 'book_publish_date': '2010-04', 'book_sku': '10113552', 'book_price': '7.50'}
2018-10-13 14:25:55 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3314.html', 's_cate': '职场', 'book_img': 'https://img11.360buyimg.com/n7/18352/f4ef18b7-7bea-4f88-981a-689b28be8a45.jpg', 'book_name': '钱美丽', 'book_author': ['孙未'], 'book_press': '作家出版社', 'book_publish_date': '2010-11', 'book_sku': '10370496', 'book_price': '6.80'}
2018-10-13 14:25:55 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3312.html', 's_cate': '都市', 'book_img': 'https://img13.360buyimg.com/n7/15606/60ca38c3-b653-49a7-b620-826450715902.jpg', 'book_name': '我在北京有张床', 'book_author': ['李波'], 'book_press': '作家出版社', 'book_publish_date': '2011-05', 'book_sku': '10652958', 'book_price': '27.00'}
2018-10-13 14:25:55 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3314.html', 's_cate': '职场', 'book_img': 'https://img11.360buyimg.com/n7/14445/aa9c498d-2d8c-4672-8804-9a5d61cb0347.jpg', 'book_name': '空港手记', 'book_author': ['魏姣'], 'book_press': '广西师范大学出版社', 'book_publish_date': '2010-09', 'book_sku': '10277516', 'book_price': '18.80'}
2018-10-13 14:25:56 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3313.html', 's_cate': '乡土', 'book_img': 'https://img11.360buyimg.com/n7/jfs/t2668/172/598763540/46762/ac4cd9b7/571d79eeNcd3e9834.jpg', 'book_name': '蘑菇圈', 'book_author': ['阿来'], 'book_press': '长江文艺', 'book_publish_date': '2015-07', 'book_sku': '10292072256', 'book_price': '16.27'}
2018-10-13 14:25:56 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3314.html', 's_cate': '职场', 'book_img': 'https://img10.360buyimg.com/n7/jfs/t214/211/1834457866/378478/92855513/53fe83dcN41f3fc53.jpg', 'book_name': '先胜', 'book_author': ['王强'], 'book_press': '中国文联出版社', 'book_publish_date': '2014-09', 'book_sku': '11531520', 'book_price': '8.80'}
2018-10-13 14:25:56 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3314.html', 's_cate': '职场', 'book_img': 'https://img10.360buyimg.com/n7/jfs/t622/207/747427341/319305/689bc0e8/54840720N66aaeafd.jpg', 'book_name': '发迹', 'book_author': ['曹剑'], 'book_press': '江苏文艺出版社', 'book_publish_date': '2014-12', 'book_sku': '11589010', 'book_price': '11.90'}
2018-10-13 14:25:56 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3314.html', 's_cate': '职场', 'book_img': 'https://img13.360buyimg.com/n7/15486/51c70eef-5ac3-4a45-995a-208f9c792a63.jpg', 'book_name': '我把一切告诉你1', 'book_author': ['万里依然'], 'book_press': '中信出版社', 'book_publish_date': '2012-01', 'book_sku': '10899878', 'book_price': '21.80'}
